ContractSuffix,OptionRoot,OptionType,DeltaPct,TargetDelta,N,Corr,StartDate,EndDate
(Apr 25),VIX,p,1.0,-0.01,63,,2024-07-25,2025-04-15
(Apr 25),VIX,p,2.0,-0.02,171,,2024-07-25,2025-04-15
(Apr 25),VIX,p,5.0,-0.05,171,,2024-07-25,2025-04-15
(Apr 25),VIX,p,10.0,-0.1,176,,2024-07-25,2025-04-15
(Apr 25),VIX,p,15.0,-0.15,176,,2024-07-25,2025-04-15
(Apr 25),VIX,p,20.0,-0.2,177,,2024-07-25,2025-04-15
(Apr 25),VIX,p,25.0,-0.25,177,0.5999474973244137,2024-07-25,2025-04-15
(Apr 25),VIX,p,30.0,-0.3,177,0.6644472416931707,2024-07-25,2025-04-15
(Apr 25),VIX,p,35.0,-0.35,177,0.7367189914444329,2024-07-25,2025-04-15
(Apr 25),VIX,p,40.0,-0.4,177,0.795763854013719,2024-07-25,2025-04-15
(Apr 25),VIX,p,45.0,-0.45,177,0.7493417299326549,2024-07-25,2025-04-15
(Apr 25),VIX,p,50.0,-0.5,177,0.7893947889754823,2024-07-25,2025-04-15
(Apr 25),SPX,c,0.1,0.001,65,,2024-04-18,2025-05-15
(Apr 25),SPX,c,0.5,0.005,181,,2024-04-18,2025-05-15
(Apr 25),SPX,c,1.0,0.01,181,0.17090505031169906,2024-04-18,2025-05-15
(Apr 25),SPX,c,2.0,0.02,181,0.2532920670275329,2024-04-18,2025-05-15
(Apr 25),SPX,c,5.0,0.05,181,0.33436945152717934,2024-04-18,2025-05-15
(Apr 25),SPX,c,10.0,0.1,181,0.3435383681119242,2024-04-18,2025-05-15
(Apr 25),SPX,c,15.0,0.15,181,0.5642957806138652,2024-04-18,2025-05-15
(Apr 25),SPX,c,20.0,0.2,181,0.6668330404151637,2024-04-18,2025-05-15
(Apr 25),SPX,c,25.0,0.25,181,0.6886225586902223,2024-04-18,2025-05-15
(Apr 25),SPX,c,30.0,0.3,181,0.726761141365456,2024-04-18,2025-05-15
(Apr 25),SPX,c,35.0,0.35,181,0.7464379709400999,2024-04-18,2025-05-15
(Apr 25),SPX,c,40.0,0.4,181,0.8446939962050519,2024-04-18,2025-05-15
(Apr 25),SPX,c,45.0,0.45,181,0.8397585278392542,2024-04-18,2025-05-15
(Apr 25),SPX,c,50.0,0.5,181,0.870922369600224,2024-04-18,2025-05-15
(Apr 25),VIX,c,0.1,0.001,154,,2024-07-25,2025-04-15
(Apr 25),VIX,c,0.5,0.005,156,,2024-07-25,2025-04-15
(Apr 25),VIX,c,1.0,0.01,171,,2024-07-25,2025-04-15
(Apr 25),VIX,c,2.0,0.02,171,,2024-07-25,2025-04-15
(Apr 25),VIX,c,5.0,0.05,171,,2024-07-25,2025-04-15
(Apr 25),VIX,c,10.0,0.1,171,,2024-07-25,2025-04-15
(Apr 25),VIX,c,15.0,0.15,176,,2024-07-25,2025-04-15
(Apr 25),VIX,c,20.0,0.2,177,,2024-07-25,2025-04-15
(Apr 25),VIX,c,25.0,0.25,177,,2024-07-25,2025-04-15
(Apr 25),VIX,c,30.0,0.3,177,,2024-07-25,2025-04-15
(Apr 25),VIX,c,35.0,0.35,177,0.10219222522646879,2024-07-25,2025-04-15
(Apr 25),VIX,c,40.0,0.4,177,0.713832646112488,2024-07-25,2025-04-15
(Apr 25),VIX,c,45.0,0.45,177,0.5317677294181369,2024-07-25,2025-04-15
(Apr 25),VIX,c,50.0,0.5,177,0.5986936500592459,2024-07-25,2025-04-15
(May 25),SPX,p,0.1,-0.001,178,-0.22300270117862922,2023-12-15,2025-06-18
(May 25),SPX,p,0.5,-0.005,178,0.6351346660888159,2023-12-15,2025-06-18
(May 25),SPX,p,1.0,-0.01,178,0.7525395797200889,2023-12-15,2025-06-18
(May 25),SPX,p,2.0,-0.02,178,0.8589818697353241,2023-12-15,2025-06-18
(May 25),SPX,p,5.0,-0.05,178,0.9081734112996541,2023-12-15,2025-06-18
(May 25),SPX,p,10.0,-0.1,178,0.879949660188321,2023-12-15,2025-06-18
(May 25),SPX,p,15.0,-0.15,178,0.8971818212344321,2023-12-15,2025-06-18
(May 25),SPX,p,20.0,-0.2,178,0.8996587513859736,2023-12-15,2025-06-18
(May 25),SPX,p,25.0,-0.25,178,0.9033776022778848,2023-12-15,2025-06-18
(May 25),SPX,p,30.0,-0.3,178,0.9171182737507433,2023-12-15,2025-06-18
(May 25),SPX,p,35.0,-0.35,178,0.922538408471259,2023-12-15,2025-06-18
(May 25),SPX,p,40.0,-0.4,178,0.9190029534779145,2023-12-15,2025-06-18
(May 25),SPX,p,45.0,-0.45,178,0.920108823812864,2023-12-15,2025-06-18
(May 25),SPX,p,50.0,-0.5,178,0.9244567856102488,2023-12-15,2025-06-18
(May 25),VIX,p,0.1,-0.001,33,,2024-08-29,2025-05-20
(May 25),VIX,p,0.5,-0.005,29,,2024-08-29,2025-05-20
(May 25),VIX,p,1.0,-0.01,94,,2024-08-29,2025-05-20
(May 25),VIX,p,2.0,-0.02,172,,2024-08-29,2025-05-20
(May 25),VIX,p,5.0,-0.05,174,,2024-08-29,2025-05-20
(May 25),VIX,p,10.0,-0.1,174,,2024-08-29,2025-05-20
(May 25),VIX,p,15.0,-0.15,174,0.3675086711567823,2024-08-29,2025-05-20
(May 25),VIX,p,20.0,-0.2,174,0.5640822093843247,2024-08-29,2025-05-20
(May 25),VIX,p,25.0,-0.25,174,0.6273340583349966,2024-08-29,2025-05-20
(May 25),VIX,p,30.0,-0.3,174,0.7077878229429032,2024-08-29,2025-05-20
(May 25),VIX,p,35.0,-0.35,174,0.6985932645229882,2024-08-29,2025-05-20
(May 25),VIX,p,40.0,-0.4,174,0.7299794132633843,2024-08-29,2025-05-20
(May 25),VIX,p,45.0,-0.45,174,0.7628522406541323,2024-08-29,2025-05-20
(May 25),VIX,p,50.0,-0.5,174,0.8078229817109281,2024-08-29,2025-05-20
(May 25),SPX,c,0.1,0.001,125,,2023-12-15,2025-06-18
(May 25),SPX,c,0.5,0.005,178,-0.0547606506426095,2023-12-15,2025-06-18
(May 25),SPX,c,1.0,0.01,178,0.1210107174333728,2023-12-15,2025-06-18
(May 25),SPX,c,2.0,0.02,178,0.24533538560849863,2023-12-15,2025-06-18
(May 25),SPX,c,5.0,0.05,178,0.29072972446950646,2023-12-15,2025-06-18
(May 25),SPX,c,10.0,0.1,178,0.3869422753597737,2023-12-15,2025-06-18
(May 25),SPX,c,15.0,0.15,178,0.4274332035514856,2023-12-15,2025-06-18
(May 25),SPX,c,20.0,0.2,178,0.7198833187227706,2023-12-15,2025-06-18
(May 25),SPX,c,25.0,0.25,178,0.6393990313389045,2023-12-15,2025-06-18
(May 25),SPX,c,30.0,0.3,178,0.7573074177727781,2023-12-15,2025-06-18
(May 25),SPX,c,35.0,0.35,178,0.7937472902152588,2023-12-15,2025-06-18
(May 25),SPX,c,40.0,0.4,178,0.868751197394206,2023-12-15,2025-06-18
(May 25),SPX,c,45.0,0.45,178,0.875089871545656,2023-12-15,2025-06-18
(May 25),SPX,c,50.0,0.5,178,0.8864513989640906,2023-12-15,2025-06-18
(May 25),VIX,c,0.1,0.001,154,,2024-08-29,2025-05-20
(May 25),VIX,c,0.5,0.005,162,,2024-08-29,2025-05-20
(May 25),VIX,c,1.0,0.01,170,,2024-08-29,2025-05-20
(May 25),VIX,c,2.0,0.02,174,0.4148981571690285,2024-08-29,2025-05-20
(May 25),VIX,c,5.0,0.05,174,0.05801151068526083,2024-08-29,2025-05-20
(May 25),VIX,c,10.0,0.1,174,,2024-08-29,2025-05-20
(May 25),VIX,c,15.0,0.15,174,0.11794861588848123,2024-08-29,2025-05-20
(May 25),VIX,c,20.0,0.2,174,0.5332901557307634,2024-08-29,2025-05-20
(May 25),VIX,c,25.0,0.25,174,0.7343958926276335,2024-08-29,2025-05-20
(May 25),VIX,c,30.0,0.3,174,0.7296920794149458,2024-08-29,2025-05-20
(May 25),VIX,c,35.0,0.35,174,0.7895872253390093,2024-08-29,2025-05-20
(May 25),VIX,c,40.0,0.4,174,0.8107783120827466,2024-08-29,2025-05-20
(May 25),VIX,c,45.0,0.45,174,0.7967680659901584,2024-08-29,2025-05-20
(May 25),VIX,c,50.0,0.5,174,0.8038127407843945,2024-08-29,2025-05-20
(Jun 25),SPX,p,0.1,-0.001,178,0.18070107395030718,2024-06-20,2025-07-17
(Jun 25),SPX,p,0.5,-0.005,178,0.45455558529963924,2024-06-20,2025-07-17
(Jun 25),SPX,p,1.0,-0.01,178,0.6779229104667908,2024-06-20,2025-07-17
(Jun 25),SPX,p,2.0,-0.02,178,0.8508368004769629,2024-06-20,2025-07-17
(Jun 25),SPX,p,5.0,-0.05,178,0.872710013195502,2024-06-20,2025-07-17
(Jun 25),SPX,p,10.0,-0.1,178,0.886163711007995,2024-06-20,2025-07-17
(Jun 25),SPX,p,15.0,-0.15,178,0.9054216856377372,2024-06-20,2025-07-17
(Jun 25),SPX,p,20.0,-0.2,178,0.9028180796680125,2024-06-20,2025-07-17
(Jun 25),SPX,p,25.0,-0.25,178,0.9126961323711537,2024-06-20,2025-07-17
(Jun 25),SPX,p,30.0,-0.3,178,0.9150205038007486,2024-06-20,2025-07-17
(Jun 25),SPX,p,35.0,-0.35,178,0.9163349290927932,2024-06-20,2025-07-17
(Jun 25),SPX,p,40.0,-0.4,178,0.9103411302109972,2024-06-20,2025-07-17
(Jun 25),SPX,p,45.0,-0.45,178,0.9086037924831435,2024-06-20,2025-07-17
(Jun 25),SPX,p,50.0,-0.5,178,0.9105063668703436,2024-06-20,2025-07-17
(Jun 25),VIX,p,0.1,-0.001,21,,2024-09-26,2025-06-17
(Jun 25),VIX,p,0.5,-0.005,17,,2024-09-26,2025-06-17
(Jun 25),VIX,p,1.0,-0.01,88,,2024-09-26,2025-06-17
(Jun 25),VIX,p,2.0,-0.02,169,,2024-09-26,2025-06-17
(Jun 25),VIX,p,5.0,-0.05,172,,2024-09-26,2025-06-17
(Jun 25),VIX,p,10.0,-0.1,173,,2024-09-26,2025-06-17
(Jun 25),VIX,p,15.0,-0.15,174,0.42886923443383285,2024-09-26,2025-06-17
(Jun 25),VIX,p,20.0,-0.2,174,0.5422365837421559,2024-09-26,2025-06-17
(Jun 25),VIX,p,25.0,-0.25,174,0.5226603204359116,2024-09-26,2025-06-17
(Jun 25),VIX,p,30.0,-0.3,174,0.6234936064101032,2024-09-26,2025-06-17
(Jun 25),VIX,p,35.0,-0.35,174,0.6164285864442792,2024-09-26,2025-06-17
(Jun 25),VIX,p,40.0,-0.4,174,0.717974799086898,2024-09-26,2025-06-17
(Jun 25),VIX,p,45.0,-0.45,174,0.7813502172169139,2024-09-26,2025-06-17
(Jun 25),VIX,p,50.0,-0.5,174,0.7495278469350304,2024-09-26,2025-06-17
(Jun 25),SPX,c,0.1,0.001,104,,2024-06-20,2025-07-17
(Jun 25),SPX,c,0.5,0.005,178,-0.1253075589788769,2024-06-20,2025-07-17
(Jun 25),SPX,c,1.0,0.01,178,-0.015619869627844408,2024-06-20,2025-07-17
(Jun 25),SPX,c,2.0,0.02,178,0.06030361931522294,2024-06-20,2025-07-17
(Jun 25),SPX,c,5.0,0.05,178,0.3534620124657037,2024-06-20,2025-07-17
(Jun 25),SPX,c,10.0,0.1,178,0.3547520749218974,2024-06-20,2025-07-17
(Jun 25),SPX,c,15.0,0.15,178,0.41239792028706984,2024-06-20,2025-07-17
(Jun 25),SPX,c,20.0,0.2,178,0.5530763610306886,2024-06-20,2025-07-17
(Jun 25),SPX,c,25.0,0.25,178,0.6273773532912629,2024-06-20,2025-07-17
